year,address,county,project,level,major,num
2019年,长春,双阳区,省级计划,小学,语文,10
2019年,长春,双阳区,省级计划,小学,数学,7
2019年,长春,双阳区,省级计划,小学,英语,5
2019年,长春,双阳区,省级计划,小学,物理,0
2019年,长春,双阳区,省级计划,小学,化学,0
2019年,长春,双阳区,省级计划,小学,生物,0
2019年,长春,双阳区,省级计划,小学,科学,3
2019年,长春,双阳区,省级计划,小学,地理,0
2019年,长春,双阳区,省级计划,小学,历史,0
2019年,长春,双阳区,省级计划,小学,道德与法治（品德与社会）,1
2019年,长春,双阳区,省级计划,小学,信息技术,3
2019年,长春,双阳区,省级计划,小学,思想品德,0
2019年,长春,双阳区,省级计划,小学,音乐,1
2019年,长春,双阳区,省级计划,小学,体育,8
2019年,长春,双阳区,省级计划,小学,美术,2
2019年,长春,双阳区,省级计划,小学,其他,0
2019年,长春,双阳区,省级计划,初中,语文,4
2019年,长春,双阳区,省级计划,初中,数学,2
2019年,长春,双阳区,省级计划,初中,英语,1
2019年,长春,双阳区,省级计划,初中,物理,3
2019年,长春,双阳区,省级计划,初中,化学,2
2019年,长春,双阳区,省级计划,初中,生物,5
2019年,长春,双阳区,省级计划,初中,科学,0
2019年,长春,双阳区,省级计划,初中,地理,1
2019年,长春,双阳区,省级计划,初中,历史,3
2019年,长春,双阳区,省级计划,初中,道德与法治（品德与社会）,0
2019年,长春,双阳区,省级计划,初中,信息技术,3
2019年,长春,双阳区,省级计划,初中,思想品德,2
2019年,长春,双阳区,省级计划,初中,音乐,1
2019年,长春,双阳区,省级计划,初中,体育,1
2019年,长春,双阳区,省级计划,初中,美术,0
2019年,长春,双阳区,省级计划,初中,其他,0
2019年,长春,九台区,省级计划,小学,语文,2
2019年,长春,九台区,省级计划,小学,数学,3
2019年,长春,九台区,省级计划,小学,英语,3
2019年,长春,九台区,省级计划,小学,物理,0
2019年,长春,九台区,省级计划,小学,化学,0
2019年,长春,九台区,省级计划,小学,生物,0
2019年,长春,九台区,省级计划,小学,科学,0
2019年,长春,九台区,省级计划,小学,地理,0
2019年,长春,九台区,省级计划,小学,历史,0
2019年,长春,九台区,省级计划,小学,道德与法治（品德与社会）,0
2019年,长春,九台区,省级计划,小学,信息技术,0
2019年,长春,九台区,省级计划,小学,思想品德,0
2019年,长春,九台区,省级计划,小学,音乐,1
2019年,长春,九台区,省级计划,小学,体育,3
2019年,长春,九台区,省级计划,小学,美术,2
2019年,长春,九台区,省级计划,小学,其他,0
2019年,长春,九台区,省级计划,初中,语文,4
2019年,长春,九台区,省级计划,初中,数学,2
2019年,长春,九台区,省级计划,初中,英语,2
2019年,长春,九台区,省级计划,初中,物理,1
2019年,长春,九台区,省级计划,初中,化学,0
2019年,长春,九台区,省级计划,初中,生物,2
2019年,长春,九台区,省级计划,初中,科学,0
2019年,长春,九台区,省级计划,初中,地理,2
2019年,长春,九台区,省级计划,初中,历史,1
2019年,长春,九台区,省级计划,初中,道德与法治（品德与社会）,0
2019年,长春,九台区,省级计划,初中,信息技术,1
2019年,长春,九台区,省级计划,初中,思想品德,1
2019年,长春,九台区,省级计划,初中,音乐,1
2019年,长春,九台区,省级计划,初中,体育,2
2019年,长春,九台区,省级计划,初中,美术,0
2019年,长春,九台区,省级计划,初中,其他,0
2019年,长春,榆树市,省级计划,小学,语文,22
2019年,长春,榆树市,省级计划,小学,数学,20
2019年,长春,榆树市,省级计划,小学,英语,13
2019年,长春,榆树市,省级计划,小学,物理,0
2019年,长春,榆树市,省级计划,小学,化学,0
2019年,长春,榆树市,省级计划,小学,生物,0
2019年,长春,榆树市,省级计划,小学,科学,1
2019年,长春,榆树市,省级计划,小学,地理,0
2019年,长春,榆树市,省级计划,小学,历史,0
2019年,长春,榆树市,省级计划,小学,道德与法治（品德与社会）,1
2019年,长春,榆树市,省级计划,小学,信息技术,1
2019年,长春,榆树市,省级计划,小学,思想品德,0
2019年,长春,榆树市,省级计划,小学,音乐,8
2019年,长春,榆树市,省级计划,小学,体育,9
2019年,长春,榆树市,省级计划,小学,美术,9
2019年,长春,榆树市,省级计划,小学,其他,0
2019年,长春,榆树市,省级计划,初中,语文,4
2019年,长春,榆树市,省级计划,初中,数学,3
2019年,长春,榆树市,省级计划,初中,英语,3
2019年,长春,榆树市,省级计划,初中,物理,2
2019年,长春,榆树市,省级计划,初中,化学,3
2019年,长春,榆树市,省级计划,初中,生物,1
2019年,长春,榆树市,省级计划,初中,科学,0
2019年,长春,榆树市,省级计划,初中,地理,2
2019年,长春,榆树市,省级计划,初中,历史,1
2019年,长春,榆树市,省级计划,初中,道德与法治（品德与社会）,0
2019年,长春,榆树市,省级计划,初中,信息技术,0
2019年,长春,榆树市,省级计划,初中,思想品德,1
2019年,长春,榆树市,省级计划,初中,音乐,0
2019年,长春,榆树市,省级计划,初中,体育,0
2019年,长春,榆树市,省级计划,初中,美术,0
2019年,长春,榆树市,省级计划,初中,其他,0
2019年,长春,德惠市,省级计划,小学,语文,9
2019年,长春,德惠市,省级计划,小学,数学,7
2019年,长春,德惠市,省级计划,小学,英语,9
2019年,长春,德惠市,省级计划,小学,物理,0
2019年,长春,德惠市,省级计划,小学,化学,0
2019年,长春,德惠市,省级计划,小学,生物,0
2019年,长春,德惠市,省级计划,小学,科学,5
2019年,长春,德惠市,省级计划,小学,地理,0
2019年,长春,德惠市,省级计划,小学,历史,0
2019年,长春,德惠市,省级计划,小学,道德与法治（品德与社会）,4
2019年,长春,德惠市,省级计划,小学,信息技术,8
2019年,长春,德惠市,省级计划,小学,思想品德,0
2019年,长春,德惠市,省级计划,小学,音乐,7
2019年,长春,德惠市,省级计划,小学,体育,8
2019年,长春,德惠市,省级计划,小学,美术,7
2019年,长春,德惠市,省级计划,小学,其他,0
2019年,长春,德惠市,省级计划,初中,语文,2
2019年,长春,德惠市,省级计划,初中,数学,2
2019年,长春,德惠市,省级计划,初中,英语,1
2019年,长春,德惠市,省级计划,初中,物理,1
2019年,长春,德惠市,省级计划,初中,化学,0
2019年,长春,德惠市,省级计划,初中,生物,5
2019年,长春,德惠市,省级计划,初中,科学,0
2019年,长春,德惠市,省级计划,初中,地理,3
2019年,长春,德惠市,省级计划,初中,历史,1
2019年,长春,德惠市,省级计划,初中,道德与法治（品德与社会）,0
2019年,长春,德惠市,省级计划,初中,信息技术,1
2019年,长春,德惠市,省级计划,初中,思想品德,2
2019年,长春,德惠市,省级计划,初中,音乐,0
2019年,长春,德惠市,省级计划,初中,体育,2
2019年,长春,德惠市,省级计划,初中,美术,0
2019年,长春,德惠市,省级计划,初中,其他,0
2019年,长春,农安县,国家计划,小学,语文,18
2019年,长春,农安县,国家计划,小学,数学,12
2019年,长春,农安县,国家计划,小学,英语,12
2019年,长春,农安县,国家计划,小学,物理,0
2019年,长春,农安县,国家计划,小学,化学,0
2019年,长春,农安县,国家计划,小学,生物,0
2019年,长春,农安县,国家计划,小学,科学,0
2019年,长春,农安县,国家计划,小学,地理,0
2019年,长春,农安县,国家计划,小学,历史,0
2019年,长春,农安县,国家计划,小学,道德与法治（品德与社会）,0
2019年,长春,农安县,国家计划,小学,信息技术,1
2019年,长春,农安县,国家计划,小学,思想品德,0
2019年,长春,农安县,国家计划,小学,音乐,4
2019年,长春,农安县,国家计划,小学,体育,10
2019年,长春,农安县,国家计划,小学,美术,5
2019年,长春,农安县,国家计划,小学,其他,0
2019年,长春,农安县,国家计划,初中,语文,5
2019年,长春,农安县,国家计划,初中,数学,1
2019年,长春,农安县,国家计划,初中,英语,3
2019年,长春,农安县,国家计划,初中,物理,0
2019年,长春,农安县,国家计划,初中,化学,3
2019年,长春,农安县,国家计划,初中,生物,3
2019年,长春,农安县,国家计划,初中,科学,0
2019年,长春,农安县,国家计划,初中,地理,7
2019年,长春,农安县,国家计划,初中,历史,3
2019年,长春,农安县,国家计划,初中,道德与法治（品德与社会）,0
2019年,长春,农安县,国家计划,初中,信息技术,0
2019年,长春,农安县,国家计划,初中,思想品德,3
2019年,长春,农安县,国家计划,初中,音乐,0
2019年,长春,农安县,国家计划,初中,体育,2
2019年,长春,农安县,国家计划,初中,美术,0
2019年,长春,农安县,国家计划,初中,其他,0
2019年,吉林,永吉县,国家计划,小学,语文,29
2019年,吉林,永吉县,国家计划,小学,数学,22
2019年,吉林,永吉县,国家计划,小学,英语,5
2019年,吉林,永吉县,国家计划,小学,物理,0
2019年,吉林,永吉县,国家计划,小学,化学,0
2019年,吉林,永吉县,国家计划,小学,生物,0
2019年,吉林,永吉县,国家计划,小学,科学,0
2019年,吉林,永吉县,国家计划,小学,地理,0
2019年,吉林,永吉县,国家计划,小学,历史,0
2019年,吉林,永吉县,国家计划,小学,道德与法治（品德与社会）,0
2019年,吉林,永吉县,国家计划,小学,信息技术,2
2019年,吉林,永吉县,国家计划,小学,思想品德,0
2019年,吉林,永吉县,国家计划,小学,音乐,7
2019年,吉林,永吉县,国家计划,小学,体育,7
2019年,吉林,永吉县,国家计划,小学,美术,6
2019年,吉林,永吉县,国家计划,小学,其他,0
2019年,吉林,永吉县,国家计划,初中,语文,6
2019年,吉林,永吉县,国家计划,初中,数学,5
2019年,吉林,永吉县,国家计划,初中,英语,5
2019年,吉林,永吉县,国家计划,初中,物理,3
2019年,吉林,永吉县,国家计划,初中,化学,1
2019年,吉林,永吉县,国家计划,初中,生物,3
2019年,吉林,永吉县,国家计划,初中,科学,0
2019年,吉林,永吉县,国家计划,初中,地理,1
2019年,吉林,永吉县,国家计划,初中,历史,1
2019年,吉林,永吉县,国家计划,初中,道德与法治（品德与社会）,0
2019年,吉林,永吉县,国家计划,初中,信息技术,0
2019年,吉林,永吉县,国家计划,初中,思想品德,2
2019年,吉林,永吉县,国家计划,初中,音乐,0
2019年,吉林,永吉县,国家计划,初中,体育,4
2019年,吉林,永吉县,国家计划,初中,美术,1
2019年,吉林,永吉县,国家计划,初中,其他,0
2019年,吉林,舒兰市,国家计划,小学,语文,13
2019年,吉林,舒兰市,国家计划,小学,数学,7
2019年,吉林,舒兰市,国家计划,小学,英语,5
2019年,吉林,舒兰市,国家计划,小学,物理,0
2019年,吉林,舒兰市,国家计划,小学,化学,0
2019年,吉林,舒兰市,国家计划,小学,生物,0
2019年,吉林,舒兰市,国家计划,小学,科学,0
2019年,吉林,舒兰市,国家计划,小学,地理,0
2019年,吉林,舒兰市,国家计划,小学,历史,0
2019年,吉林,舒兰市,国家计划,小学,道德与法治（品德与社会）,0
2019年,吉林,舒兰市,国家计划,小学,信息技术,2
2019年,吉林,舒兰市,国家计划,小学,思想品德,0
2019年,吉林,舒兰市,国家计划,小学,音乐,3
2019年,吉林,舒兰市,国家计划,小学,体育,4
2019年,吉林,舒兰市,国家计划,小学,美术,7
2019年,吉林,舒兰市,国家计划,小学,其他,0
2019年,吉林,舒兰市,国家计划,初中,语文,8
2019年,吉林,舒兰市,国家计划,初中,数学,8
2019年,吉林,舒兰市,国家计划,初中,英语,7
2019年,吉林,舒兰市,国家计划,初中,物理,1
2019年,吉林,舒兰市,国家计划,初中,化学,2
2019年,吉林,舒兰市,国家计划,初中,生物,1
2019年,吉林,舒兰市,国家计划,初中,科学,0
2019年,吉林,舒兰市,国家计划,初中,地理,1
2019年,吉林,舒兰市,国家计划,初中,历史,1
2019年,吉林,舒兰市,国家计划,初中,道德与法治（品德与社会）,0
2019年,吉林,舒兰市,国家计划,初中,信息技术,0
2019年,吉林,舒兰市,国家计划,初中,思想品德,1
2019年,吉林,舒兰市,国家计划,初中,音乐,1
2019年,吉林,舒兰市,国家计划,初中,体育,2
2019年,吉林,舒兰市,国家计划,初中,美术,0
2019年,吉林,舒兰市,国家计划,初中,其他,0
2019年,吉林,磐石市,省级计划,小学,语文,15
2019年,吉林,磐石市,省级计划,小学,数学,12
2019年,吉林,磐石市,省级计划,小学,英语,6
2019年,吉林,磐石市,省级计划,小学,物理,0
2019年,吉林,磐石市,省级计划,小学,化学,0
2019年,吉林,磐石市,省级计划,小学,生物,0
2019年,吉林,磐石市,省级计划,小学,科学,0
2019年,吉林,磐石市,省级计划,小学,地理,0
2019年,吉林,磐石市,省级计划,小学,历史,0
2019年,吉林,磐石市,省级计划,小学,道德与法治（品德与社会）,0
2019年,吉林,磐石市,省级计划,小学,信息技术,0
2019年,吉林,磐石市,省级计划,小学,思想品德,0
2019年,吉林,磐石市,省级计划,小学,音乐,2
2019年,吉林,磐石市,省级计划,小学,体育,2
2019年,吉林,磐石市,省级计划,小学,美术,2
2019年,吉林,磐石市,省级计划,小学,其他,0
2019年,吉林,磐石市,省级计划,初中,语文,0
2019年,吉林,磐石市,省级计划,初中,数学,0
2019年,吉林,磐石市,省级计划,初中,英语,2
2019年,吉林,磐石市,省级计划,初中,物理,1
2019年,吉林,磐石市,省级计划,初中,化学,1
2019年,吉林,磐石市,省级计划,初中,生物,1
2019年,吉林,磐石市,省级计划,初中,科学,0
2019年,吉林,磐石市,省级计划,初中,地理,1
2019年,吉林,磐石市,省级计划,初中,历史,1
2019年,吉林,磐石市,省级计划,初中,道德与法治（品德与社会）,0
2019年,吉林,磐石市,省级计划,初中,信息技术,0
2019年,吉林,磐石市,省级计划,初中,思想品德,1
2019年,吉林,磐石市,省级计划,初中,音乐,0
2019年,吉林,磐石市,省级计划,初中,体育,0
2019年,吉林,磐石市,省级计划,初中,美术,0
2019年,吉林,磐石市,省级计划,初中,其他,0
2019年,吉林,蛟河市,省级计划,小学,语文,8
2019年,吉林,蛟河市,省级计划,小学,数学,4
2019年,吉林,蛟河市,省级计划,小学,英语,2
2019年,吉林,蛟河市,省级计划,小学,物理,0
2019年,吉林,蛟河市,省级计划,小学,化学,0
2019年,吉林,蛟河市,省级计划,小学,生物,0
2019年,吉林,蛟河市,省级计划,小学,科学,0
2019年,吉林,蛟河市,省级计划,小学,地理,0
2019年,吉林,蛟河市,省级计划,小学,历史,0
2019年,吉林,蛟河市,省级计划,小学,道德与法治（品德与社会）,0
2019年,吉林,蛟河市,省级计划,小学,信息技术,0
2019年,吉林,蛟河市,省级计划,小学,思想品德,0
2019年,吉林,蛟河市,省级计划,小学,音乐,1
2019年,吉林,蛟河市,省级计划,小学,体育,3
2019年,吉林,蛟河市,省级计划,小学,美术,0
2019年,吉林,蛟河市,省级计划,小学,其他,0
2019年,吉林,蛟河市,省级计划,初中,语文,2
2019年,吉林,蛟河市,省级计划,初中,数学,2
2019年,吉林,蛟河市,省级计划,初中,英语,2
2019年,吉林,蛟河市,省级计划,初中,物理,0
2019年,吉林,蛟河市,省级计划,初中,化学,0
2019年,吉林,蛟河市,省级计划,初中,生物,0
2019年,吉林,蛟河市,省级计划,初中,科学,0
2019年,吉林,蛟河市,省级计划,初中,地理,0
2019年,吉林,蛟河市,省级计划,初中,历史,1
2019年,吉林,蛟河市,省级计划,初中,道德与法治（品德与社会）,0
2019年,吉林,蛟河市,省级计划,初中,信息技术,0
2019年,吉林,蛟河市,省级计划,初中,思想品德,4
2019年,吉林,蛟河市,省级计划,初中,音乐,0
2019年,吉林,蛟河市,省级计划,初中,体育,1
2019年,吉林,蛟河市,省级计划,初中,美术,0
2019年,吉林,蛟河市,省级计划,初中,其他,0
2019年,通化,辉南县,国家计划,小学,语文,16
2019年,通化,辉南县,国家计划,小学,数学,14
2019年,通化,辉南县,国家计划,小学,英语,10
2019年,通化,辉南县,国家计划,小学,物理,0
2019年,通化,辉南县,国家计划,小学,化学,0
2019年,通化,辉南县,国家计划,小学,生物,0
2019年,通化,辉南县,国家计划,小学,科学,1
2019年,通化,辉南县,国家计划,小学,地理,0
2019年,通化,辉南县,国家计划,小学,历史,0
2019年,通化,辉南县,国家计划,小学,道德与法治（品德与社会）,0
2019年,通化,辉南县,国家计划,小学,信息技术,1
2019年,通化,辉南县,国家计划,小学,思想品德,0
2019年,通化,辉南县,国家计划,小学,音乐,9
2019年,通化,辉南县,国家计划,小学,体育,7
2019年,通化,辉南县,国家计划,小学,美术,6
2019年,通化,辉南县,国家计划,小学,其他,0
2019年,通化,辉南县,国家计划,初中,语文,3
2019年,通化,辉南县,国家计划,初中,数学,5
2019年,通化,辉南县,国家计划,初中,英语,7
2019年,通化,辉南县,国家计划,初中,物理,3
2019年,通化,辉南县,国家计划,初中,化学,0
2019年,通化,辉南县,国家计划,初中,生物,0
2019年,通化,辉南县,国家计划,初中,科学,0
2019年,通化,辉南县,国家计划,初中,地理,1
2019年,通化,辉南县,国家计划,初中,历史,0
2019年,通化,辉南县,国家计划,初中,道德与法治（品德与社会）,0
2019年,通化,辉南县,国家计划,初中,信息技术,0
2019年,通化,辉南县,国家计划,初中,思想品德,0
2019年,通化,辉南县,国家计划,初中,音乐,2
2019年,通化,辉南县,国家计划,初中,体育,2
2019年,通化,辉南县,国家计划,初中,美术,1
2019年,通化,辉南县,国家计划,初中,其他,0
2019年,通化,集安市,国家计划,小学,语文,19
2019年,通化,集安市,国家计划,小学,数学,4
2019年,通化,集安市,国家计划,小学,英语,5
2019年,通化,集安市,国家计划,小学,物理,0
2019年,通化,集安市,国家计划,小学,化学,0
2019年,通化,集安市,国家计划,小学,生物,0
2019年,通化,集安市,国家计划,小学,科学,1
2019年,通化,集安市,国家计划,小学,地理,0
2019年,通化,集安市,国家计划,小学,历史,0
2019年,通化,集安市,国家计划,小学,道德与法治（品德与社会）,0
2019年,通化,集安市,国家计划,小学,信息技术,2
2019年,通化,集安市,国家计划,小学,思想品德,0
2019年,通化,集安市,国家计划,小学,音乐,2
2019年,通化,集安市,国家计划,小学,体育,4
2019年,通化,集安市,国家计划,小学,美术,4
2019年,通化,集安市,国家计划,小学,其他,0
2019年,通化,集安市,国家计划,初中,语文,4
2019年,通化,集安市,国家计划,初中,数学,4
2019年,通化,集安市,国家计划,初中,英语,2
2019年,通化,集安市,国家计划,初中,物理,3
2019年,通化,集安市,国家计划,初中,化学,2
2019年,通化,集安市,国家计划,初中,生物,1
2019年,通化,集安市,国家计划,初中,科学,0
2019年,通化,集安市,国家计划,初中,地理,0
2019年,通化,集安市,国家计划,初中,历史,2
2019年,通化,集安市,国家计划,初中,道德与法治（品德与社会）,0
2019年,通化,集安市,国家计划,初中,信息技术,1
2019年,通化,集安市,国家计划,初中,思想品德,5
2019年,通化,集安市,国家计划,初中,音乐,0
2019年,通化,集安市,国家计划,初中,体育,3
2019年,通化,集安市,国家计划,初中,美术,2
2019年,通化,集安市,国家计划,初中,其他,0
2019年,通化,东昌区,省级计划,小学,语文,6
2019年,通化,东昌区,省级计划,小学,数学,6
2019年,通化,东昌区,省级计划,小学,英语,2
2019年,通化,东昌区,省级计划,小学,物理,0
2019年,通化,东昌区,省级计划,小学,化学,0
2019年,通化,东昌区,省级计划,小学,生物,0
2019年,通化,东昌区,省级计划,小学,科学,0
2019年,通化,东昌区,省级计划,小学,地理,0
2019年,通化,东昌区,省级计划,小学,历史,0
2019年,通化,东昌区,省级计划,小学,道德与法治（品德与社会）,0
2019年,通化,东昌区,省级计划,小学,信息技术,0
2019年,通化,东昌区,省级计划,小学,思想品德,0
2019年,通化,东昌区,省级计划,小学,音乐,2
2019年,通化,东昌区,省级计划,小学,体育,4
2019年,通化,东昌区,省级计划,小学,美术,0
2019年,通化,东昌区,省级计划,小学,其他,0
2019年,通化,东昌区,省级计划,初中,语文,0
2019年,通化,东昌区,省级计划,初中,数学,0
2019年,通化,东昌区,省级计划,初中,英语,0
2019年,通化,东昌区,省级计划,初中,物理,0
2019年,通化,东昌区,省级计划,初中,化学,0
2019年,通化,东昌区,省级计划,初中,生物,0
2019年,通化,东昌区,省级计划,初中,科学,0
2019年,通化,东昌区,省级计划,初中,地理,0
2019年,通化,东昌区,省级计划,初中,历史,0
2019年,通化,东昌区,省级计划,初中,道德与法治（品德与社会）,0
2019年,通化,东昌区,省级计划,初中,信息技术,0
2019年,通化,东昌区,省级计划,初中,思想品德,0
2019年,通化,东昌区,省级计划,初中,音乐,0
2019年,通化,东昌区,省级计划,初中,体育,0
2019年,通化,东昌区,省级计划,初中,美术,0
2019年,通化,东昌区,省级计划,初中,其他,0
2019年,通化,柳河县,省级计划,小学,语文,11
2019年,通化,柳河县,省级计划,小学,数学,4
2019年,通化,柳河县,省级计划,小学,英语,4
2019年,通化,柳河县,省级计划,小学,物理,0
2019年,通化,柳河县,省级计划,小学,化学,0
2019年,通化,柳河县,省级计划,小学,生物,0
2019年,通化,柳河县,省级计划,小学,科学,0
2019年,通化,柳河县,省级计划,小学,地理,0
2019年,通化,柳河县,省级计划,小学,历史,0
2019年,通化,柳河县,省级计划,小学,道德与法治（品德与社会）,0
2019年,通化,柳河县,省级计划,小学,信息技术,1
2019年,通化,柳河县,省级计划,小学,思想品德,0
2019年,通化,柳河县,省级计划,小学,音乐,1
2019年,通化,柳河县,省级计划,小学,体育,6
2019年,通化,柳河县,省级计划,小学,美术,5
2019年,通化,柳河县,省级计划,小学,其他,0
2019年,通化,柳河县,省级计划,初中,语文,4
2019年,通化,柳河县,省级计划,初中,数学,5
2019年,通化,柳河县,省级计划,初中,英语,3
2019年,通化,柳河县,省级计划,初中,物理,2
2019年,通化,柳河县,省级计划,初中,化学,1
2019年,通化,柳河县,省级计划,初中,生物,2
2019年,通化,柳河县,省级计划,初中,科学,0
2019年,通化,柳河县,省级计划,初中,地理,0
2019年,通化,柳河县,省级计划,初中,历史,0
2019年,通化,柳河县,省级计划,初中,道德与法治（品德与社会）,0
2019年,通化,柳河县,省级计划,初中,信息技术,2
2019年,通化,柳河县,省级计划,初中,思想品德,3
2019年,通化,柳河县,省级计划,初中,音乐,2
2019年,通化,柳河县,省级计划,初中,体育,4
2019年,通化,柳河县,省级计划,初中,美术,0
2019年,通化,柳河县,省级计划,初中,其他,0
2019年,通化,通化县,省级计划,小学,语文,4
2019年,通化,通化县,省级计划,小学,数学,0
2019年,通化,通化县,省级计划,小学,英语,2
2019年,通化,通化县,省级计划,小学,物理,0
2019年,通化,通化县,省级计划,小学,化学,0
2019年,通化,通化县,省级计划,小学,生物,0
2019年,通化,通化县,省级计划,小学,科学,0
2019年,通化,通化县,省级计划,小学,地理,0
2019年,通化,通化县,省级计划,小学,历史,0
2019年,通化,通化县,省级计划,小学,道德与法治（品德与社会）,0
2019年,通化,通化县,省级计划,小学,信息技术,2
2019年,通化,通化县,省级计划,小学,思想品德,0
2019年,通化,通化县,省级计划,小学,音乐,3
2019年,通化,通化县,省级计划,小学,体育,2
2019年,通化,通化县,省级计划,小学,美术,4
2019年,通化,通化县,省级计划,小学,其他,0
2019年,通化,通化县,省级计划,初中,语文,2
2019年,通化,通化县,省级计划,初中,数学,3
2019年,通化,通化县,省级计划,初中,英语,2
2019年,通化,通化县,省级计划,初中,物理,1
2019年,通化,通化县,省级计划,初中,化学,1
2019年,通化,通化县,省级计划,初中,生物,2
2019年,通化,通化县,省级计划,初中,科学,0
2019年,通化,通化县,省级计划,初中,地理,2
2019年,通化,通化县,省级计划,初中,历史,0
2019年,通化,通化县,省级计划,初中,道德与法治（品德与社会）,0
2019年,通化,通化县,省级计划,初中,信息技术,0
2019年,通化,通化县,省级计划,初中,思想品德,0
2019年,通化,通化县,省级计划,初中,音乐,2
2019年,通化,通化县,省级计划,初中,体育,1
2019年,通化,通化县,省级计划,初中,美术,2
2019年,通化,通化县,省级计划,初中,其他,0
2019年,通化,梅河口市,省级计划,小学,语文,19
2019年,通化,梅河口市,省级计划,小学,数学,8
2019年,通化,梅河口市,省级计划,小学,英语,5
2019年,通化,梅河口市,省级计划,小学,物理,0
2019年,通化,梅河口市,省级计划,小学,化学,0
2019年,通化,梅河口市,省级计划,小学,生物,0
2019年,通化,梅河口市,省级计划,小学,科学,1
2019年,通化,梅河口市,省级计划,小学,地理,0
2019年,通化,梅河口市,省级计划,小学,历史,0
2019年,通化,梅河口市,省级计划,小学,道德与法治（品德与社会）,1
2019年,通化,梅河口市,省级计划,小学,信息技术,3
2019年,通化,梅河口市,省级计划,小学,思想品德,0
2019年,通化,梅河口市,省级计划,小学,音乐,8
2019年,通化,梅河口市,省级计划,小学,体育,10
2019年,通化,梅河口市,省级计划,小学,美术,7
2019年,通化,梅河口市,省级计划,小学,其他,0
2019年,通化,梅河口市,省级计划,初中,语文,6
2019年,通化,梅河口市,省级计划,初中,数学,7
2019年,通化,梅河口市,省级计划,初中,英语,13
2019年,通化,梅河口市,省级计划,初中,物理,5
2019年,通化,梅河口市,省级计划,初中,化学,3
2019年,通化,梅河口市,省级计划,初中,生物,3
2019年,通化,梅河口市,省级计划,初中,科学,0
2019年,通化,梅河口市,省级计划,初中,地理,1
2019年,通化,梅河口市,省级计划,初中,历史,2
2019年,通化,梅河口市,省级计划,初中,道德与法治（品德与社会）,0
2019年,通化,梅河口市,省级计划,初中,信息技术,0
2019年,通化,梅河口市,省级计划,初中,思想品德,3
2019年,通化,梅河口市,省级计划,初中,音乐,1
2019年,通化,梅河口市,省级计划,初中,体育,3
2019年,通化,梅河口市,省级计划,初中,美术,1
2019年,通化,梅河口市,省级计划,初中,其他,0
2019年,延吉,延吉市,国家计划,小学,语文,3
2019年,延吉,延吉市,国家计划,小学,数学,0
2019年,延吉,延吉市,国家计划,小学,英语,3
2019年,延吉,延吉市,国家计划,小学,物理,0
2019年,延吉,延吉市,国家计划,小学,化学,0
2019年,延吉,延吉市,国家计划,小学,生物,0
2019年,延吉,延吉市,国家计划,小学,科学,0
2019年,延吉,延吉市,国家计划,小学,地理,0
2019年,延吉,延吉市,国家计划,小学,历史,0
2019年,延吉,延吉市,国家计划,小学,道德与法治（品德与社会）,0
2019年,延吉,延吉市,国家计划,小学,信息技术,0
2019年,延吉,延吉市,国家计划,小学,思想品德,0
2019年,延吉,延吉市,国家计划,小学,音乐,0
2019年,延吉,延吉市,国家计划,小学,体育,1
2019年,延吉,延吉市,国家计划,小学,美术,0
2019年,延吉,延吉市,国家计划,小学,其他,0
2019年,延吉,延吉市,国家计划,初中,语文,1
2019年,延吉,延吉市,国家计划,初中,数学,1
2019年,延吉,延吉市,国家计划,初中,英语,1
2019年,延吉,延吉市,国家计划,初中,物理,0
2019年,延吉,延吉市,国家计划,初中,化学,0
2019年,延吉,延吉市,国家计划,初中,生物,0
2019年,延吉,延吉市,国家计划,初中,科学,0
2019年,延吉,延吉市,国家计划,初中,地理,0
2019年,延吉,延吉市,国家计划,初中,历史,0
2019年,延吉,延吉市,国家计划,初中,道德与法治（品德与社会）,0
2019年,延吉,延吉市,国家计划,初中,信息技术,0
2019年,延吉,延吉市,国家计划,初中,思想品德,0
2019年,延吉,延吉市,国家计划,初中,音乐,0
2019年,延吉,延吉市,国家计划,初中,体育,1
2019年,延吉,延吉市,国家计划,初中,美术,0
2019年,延吉,延吉市,国家计划,初中,其他,0
2019年,延吉,延吉市,省级计划,小学,语文,0
2019年,延吉,延吉市,省级计划,小学,数学,2
2019年,延吉,延吉市,省级计划,小学,英语,0
2019年,延吉,延吉市,省级计划,小学,物理,0
2019年,延吉,延吉市,省级计划,小学,化学,0
2019年,延吉,延吉市,省级计划,小学,生物,0
2019年,延吉,延吉市,省级计划,小学,科学,0
2019年,延吉,延吉市,省级计划,小学,地理,0
2019年,延吉,延吉市,省级计划,小学,历史,0
2019年,延吉,延吉市,省级计划,小学,道德与法治（品德与社会）,0
2019年,延吉,延吉市,省级计划,小学,信息技术,0
2019年,延吉,延吉市,省级计划,小学,思想品德,0
2019年,延吉,延吉市,省级计划,小学,音乐,1
2019年,延吉,延吉市,省级计划,小学,体育,1
2019年,延吉,延吉市,省级计划,小学,美术,1
2019年,延吉,延吉市,省级计划,小学,其他,1
2019年,延吉,延吉市,省级计划,初中,语文,0
2019年,延吉,延吉市,省级计划,初中,数学,0
2019年,延吉,延吉市,省级计划,初中,英语,0
2019年,延吉,延吉市,省级计划,初中,物理,1
2019年,延吉,延吉市,省级计划,初中,化学,0
